Car Model,Acceleration,Number of Cylinders,Origin,Curb Weight,Horsepower_bin,MPG_bin,Engine_Displacement_bin,Weight_bin
Nissan,18.64735461,8,USA,3294.676788,150-200,15-20,2-3,4000-4500
Ford,18.05600695,8,Japan,2878.178446,>350,<15,<2,3000-3500
Ford,13.37347625,8,USA,3974.308224,300-350,40-50,2-3,3000-3500
Ford,9.871983731,4,Germany,3461.444822,100-150,20-25,5-6,4500-5000
Chevrolet,9.400845134,8,Germany,3766.526009,200-250,40-50,4-5,4500-5000
Honda,5.501269921,8,USA,3123.666523,250-300,20-25,4-5,>5000
Audi,17.23731277,6,Germany,3030.933831,>350,35-40,4-5,3000-3500
Toyota,11.7557482,6,USA,3329.736842,>350,40-50,2-3,>5000
Ford,9.876993926,4,Germany,3152.917664,>350,30-35,3-4,4000-4500
BMW,12.06665532,4,USA,3572.422083,200-250,25-30,4-5,>5000
Mercedes,17.28106986,6,Germany,2898.727135,300-350,25-30,<2,4000-4500
Toyota,6.869213116,6,Japan,3174.386547,300-350,20-25,2-3,4000-4500
Mercedes,17.86483982,4,Japan,3842.699121,250-300,40-50,2-3,4000-4500
Audi,18.46263253,8,Germany,3634.161851,150-200,40-50,3-4,4500-5000
Toyota,19.20061873,4,USA,2752.105248,>350,40-50,5-6,>5000
Toyota,10.96231989,8,Germany,3830.297244,>350,<15,<2,2000-2500
Ford,8.257106061,6,USA,3383.524886,250-300,35-40,3-4,2000-2500
Ford,10.60461228,6,Germany,3518.930775,300-350,40-50,2-3,>5000
Honda,9.993681443,6,Germany,2941.384849,150-200,15-20,5-6,4000-4500
Audi,7.642308688,8,Japan,3162.316395,300-350,<15,<2,4000-4500
Ford,14.10900005,4,USA,3710.218718,>350,35-40,3-4,3500-4000
Ford,12.14936241,8,USA,2996.014328,300-350,30-35,4-5,2000-2500
Toyota,17.98551488,4,USA,2747.592423,>350,40-50,4-5,>5000
Honda,5.481643707,4,USA,3067.457369,300-350,15-20,3-4,4500-5000
Nissan,14.65801891,4,USA,2603.828001,200-250,40-50,2-3,3000-3500
Ford,16.44423318,6,Japan,3576.784688,>350,15-20,3-4,3000-3500
BMW,16.39229854,4,Germany,2721.618863,150-200,15-20,2-3,>5000
Ford,18.29110951,6,USA,2927.688861,250-300,15-20,2-3,2000-2500
Nissan,15.93550614,4,USA,3821.621508,200-250,40-50,3-4,>5000
Toyota,18.91715092,4,Germany,3310.746487,250-300,35-40,2-3,3000-3500
Audi,9.989848997,6,Japan,2982.007661,>350,30-35,2-3,4000-4500
Honda,12.54814125,6,Japan,3321.500335,250-300,20-25,4-5,>5000
Toyota,5.211194949,8,Japan,2827.416489,>350,40-50,5-6,4500-5000
Audi,5.10436381,4,Germany,2537.759695,300-350,25-30,3-4,3500-4000
Chevrolet,8.601899307,6,Germany,3405.598718,200-250,40-50,<2,4500-5000
Ford,6.512107957,8,Japan,3571.188899,>350,25-30,<2,3000-3500
Audi,8.903170519,8,Japan,3819.672648,150-200,25-30,5-6,3000-3500
BMW,7.655649418,6,Germany,3657.825042,150-200,25-30,2-3,>5000
Audi,5.427800373,4,Japan,3890.016551,300-350,20-25,<2,>5000
Chevrolet,18.6395622,8,USA,3978.930213,200-250,35-40,3-4,4500-5000
Ford,5.123346971,4,Germany,3617.403172,100-150,30-35,3-4,3000-3500
Chevrolet,16.04123217,4,Japan,3801.884951,>350,15-20,4-5,2000-2500
Nissan,7.282218304,8,USA,3510.597255,300-350,40-50,2-3,2000-2500
Ford,18.68344433,6,Germany,2756.406687,250-300,25-30,<2,4000-4500
BMW,18.39193909,4,Germany,2772.553639,>350,30-35,5-6,>5000
Ford,14.8085172,6,USA,2665.389184,300-350,40-50,2-3,4000-4500
Chevrolet,15.08351225,8,Germany,3914.46208,>350,30-35,4-5,>5000
Mercedes,5.08008713,4,Japan,3509.127547,150-200,<15,4-5,2000-2500
Honda,19.77307349,6,Germany,3684.864626,300-350,40-50,3-4,3000-3500
Chevrolet,18.16748905,6,Japan,2996.736005,>350,35-40,2-3,2500-3000
Ford,18.42659339,4,USA,3190.632565,300-350,20-25,2-3,3500-4000
Mercedes,14.88866806,6,USA,2559.669298,>350,15-20,3-4,2000-2500
Ford,10.17180393,6,Germany,3833.511101,200-250,40-50,4-5,>5000
Audi,18.40472974,8,USA,3779.505144,100-150,30-35,5-6,2500-3000
Mercedes,9.372753922,8,USA,3677.217002,250-300,30-35,<2,>5000
Honda,13.44067315,6,Germany,2587.453102,250-300,40-50,2-3,3500-4000
Toyota,6.495964585,6,Japan,2761.374603,>350,40-50,5-6,>5000
Honda,18.82933445,4,Germany,3001.255987,150-200,15-20,4-5,4000-4500
Toyota,7.111556867,8,Germany,2894.594013,>350,20-25,5-6,>5000
BMW,8.373452086,4,Japan,3757.689758,>350,15-20,2-3,2000-2500
Ford,13.37201237,6,Japan,2792.253637,150-200,35-40,3-4,4500-5000
Audi,16.461395,4,Japan,3298.186698,200-250,<15,4-5,>5000
Mercedes,14.29026959,6,Germany,3357.071647,>350,30-35,4-5,2500-3000
Nissan,8.482008692,8,Japan,3137.517771,>350,40-50,3-4,2000-2500
Nissan,5.014145638,8,USA,2861.031898,250-300,40-50,<2,3500-4000
Chevrolet,16.3572587,6,Japan,3940.441436,200-250,20-25,3-4,>5000
Honda,19.77810989,8,USA,3120.098863,300-350,40-50,2-3,4000-4500
Mercedes,17.1486968,6,Japan,3590.964993,>350,<15,3-4,4000-4500
Honda,11.90309927,4,USA,2776.069731,200-250,40-50,5-6,2500-3000
Mercedes,18.55650892,6,USA,3734.216753,>350,15-20,3-4,2000-2500
Nissan,11.1477151,4,USA,2823.837735,100-150,25-30,4-5,>5000
Toyota,12.87401126,6,USA,3512.959935,100-150,40-50,2-3,2000-2500
Honda,12.15694651,8,USA,3259.744002,250-300,15-20,4-5,4500-5000
Toyota,11.71435809,6,Japan,2719.835711,200-250,15-20,5-6,>5000
Toyota,16.62786154,6,Germany,2537.423794,200-250,35-40,<2,2500-3000
Toyota,12.90153361,6,Germany,3896.122398,250-300,35-40,<2,4500-5000
Toyota,9.75075683,8,Germany,2688.53577,200-250,35-40,3-4,2000-2500
Audi,8.872372515,6,Germany,3557.427143,150-200,35-40,<2,4000-4500
Chevrolet,5.566209755,8,Germany,3479.027438,200-250,30-35,4-5,2500-3000
Chevrolet,13.74792743,6,USA,3012.580064,>350,20-25,5-6,4500-5000
Audi,8.449421231,4,Japan,2778.074349,250-300,20-25,3-4,3000-3500
Nissan,7.22200883,6,USA,2767.492374,250-300,15-20,2-3,3500-4000
Mercedes,14.80744946,4,Japan,3377.99178,300-350,40-50,3-4,4000-4500
Chevrolet,15.21813887,8,Japan,3320.381942,>350,30-35,4-5,2500-3000
Mercedes,16.28232338,8,Japan,3813.902531,150-200,25-30,<2,4500-5000
BMW,12.55365345,6,Japan,3460.004618,>350,25-30,3-4,3000-3500
Audi,18.41081908,8,Germany,3728.912464,>350,40-50,3-4,4500-5000
Honda,19.0451413,6,Japan,2548.619594,300-350,15-20,4-5,2500-3000
BMW,17.1105641,8,Japan,3506.489721,100-150,30-35,2-3,4500-5000
Audi,14.53390223,4,Germany,2850.562958,>350,30-35,4-5,2500-3000
Chevrolet,9.555814304,8,USA,2879.25844,100-150,30-35,<2,3500-4000
Honda,19.74417382,4,USA,3580.864794,300-350,<15,2-3,2500-3000
Mercedes,9.112042508,6,USA,3690.149438,>350,40-50,5-6,4500-5000
Honda,8.03985383,6,USA,3057.603213,150-200,40-50,4-5,3000-3500
Mercedes,11.63231171,6,Japan,3685.115225,>350,30-35,<2,>5000
Toyota,5.852608561,4,Germany,3165.617013,100-150,35-40,2-3,>5000
Nissan,19.67741697,6,Germany,3786.468023,>350,40-50,2-3,2500-3000
Toyota,13.82650335,6,USA,2537.355658,250-300,35-40,2-3,4000-4500
Audi,13.35428137,4,Germany,2625.242606,150-200,15-20,2-3,2000-2500
Toyota,14.8369442,8,Japan,3664.527711,150-200,30-35,<2,3500-4000
BMW,12.45535472,6,USA,3436.134442,>350,30-35,3-4,4500-5000
Mercedes,5.480952756,8,Japan,3338.53038,100-150,25-30,4-5,4500-5000
Mercedes,14.18466933,8,Japan,3420.968211,150-200,35-40,3-4,4000-4500
Chevrolet,15.74260815,6,Japan,3895.285941,200-250,40-50,4-5,3000-3500
Mercedes,11.25123591,6,Japan,3483.305547,300-350,40-50,<2,3500-4000
BMW,16.35943358,4,Japan,3471.214175,300-350,25-30,5-6,2000-2500
Chevrolet,8.40501949,4,USA,3639.20632,150-200,<15,4-5,4500-5000
BMW,8.319148866,6,Japan,3799.931058,200-250,40-50,4-5,4000-4500
Honda,7.421254815,8,USA,2892.868717,150-200,40-50,4-5,4500-5000
Chevrolet,10.5799214,4,Germany,3425.123289,150-200,<15,5-6,2500-3000
Mercedes,17.70518053,4,Japan,3375.962445,250-300,40-50,3-4,3000-3500
Chevrolet,17.41868093,6,Japan,2702.274222,>350,40-50,2-3,3000-3500
BMW,10.74236312,6,Germany,3280.475461,150-200,30-35,3-4,2000-2500
Ford,13.83678104,6,USA,2604.325772,200-250,30-35,4-5,3000-3500
Honda,15.81224475,6,Japan,2777.439381,250-300,25-30,4-5,>5000
Audi,8.618101619,4,Germany,3869.444623,>350,<15,3-4,>5000
Mercedes,7.522116288,4,Germany,2678.864772,>350,20-25,<2,4000-4500
Honda,19.5814399,4,Japan,3368.37445,>350,40-50,2-3,3500-4000
Mercedes,14.2633597,8,USA,2985.221044,150-200,<15,5-6,2000-2500
Audi,19.72123583,4,USA,3332.969936,100-150,20-25,3-4,>5000
Ford,10.06633981,4,Japan,2852.460314,200-250,25-30,3-4,2000-2500
BMW,15.5454755,6,Germany,3166.569182,200-250,30-35,2-3,>5000
BMW,8.339054548,4,Japan,3801.00015,300-350,40-50,2-3,3500-4000
Honda,8.918002569,4,USA,3064.325467,>350,20-25,5-6,3000-3500
BMW,12.67853182,4,Germany,3029.546407,>350,20-25,4-5,>5000
Nissan,9.794271883,6,Japan,3169.177119,>350,35-40,4-5,2000-2500
Nissan,7.514323458,4,Germany,2650.739266,200-250,25-30,3-4,4000-4500
Mercedes,8.94321053,4,USA,3081.020537,>350,15-20,4-5,4000-4500
Audi,5.536225917,8,USA,2510.350376,200-250,25-30,2-3,2500-3000
Ford,15.56635432,8,USA,3255.095718,100-150,15-20,4-5,3500-4000
Mercedes,12.38174986,8,Japan,3771.911619,>350,15-20,3-4,4500-5000
Chevrolet,6.413645996,8,Germany,3328.109656,100-150,25-30,3-4,4500-5000
Mercedes,7.575409897,6,Japan,3411.587767,250-300,25-30,4-5,2000-2500
Nissan,6.538018072,8,Japan,2545.845057,200-250,40-50,5-6,>5000
Mercedes,14.18889212,4,Japan,3789.27247,>350,20-25,<2,2500-3000
Audi,6.413155454,8,Japan,3077.505329,>350,30-35,4-5,2500-3000
Mercedes,16.314235,6,Germany,3962.279021,200-250,35-40,2-3,3000-3500
BMW,5.30766379,8,Germany,2680.698054,>350,<15,3-4,2000-2500
Ford,8.74063682,8,Japan,3917.007827,200-250,35-40,<2,2000-2500
Audi,18.36000014,6,Japan,3451.43636,250-300,15-20,2-3,>5000
Audi,15.77796977,6,USA,2578.51045,>350,40-50,3-4,3000-3500
Nissan,6.094524994,6,USA,3957.548617,>350,15-20,<2,2000-2500
Toyota,17.31689157,6,Germany,2520.809602,>350,25-30,3-4,2000-2500
Ford,12.39552682,6,USA,3596.050253,150-200,<15,5-6,4500-5000
Honda,17.70174541,6,Germany,3834.294923,>350,40-50,<2,>5000
Audi,14.01109662,4,Germany,2763.717331,300-350,30-35,4-5,3000-3500
Nissan,15.22749548,8,Germany,3015.035786,>350,30-35,3-4,2000-2500
Honda,19.90252341,8,USA,3341.844011,150-200,<15,4-5,2500-3000
Ford,8.485033189,6,USA,3519.713929,>350,35-40,2-3,2000-2500
Nissan,14.35918362,6,Germany,3807.813802,300-350,15-20,2-3,2000-2500
Honda,11.90482085,4,Germany,3641.605706,200-250,40-50,2-3,3500-4000
Mercedes,5.591779294,4,Japan,3044.996716,250-300,15-20,<2,2500-3000
Chevrolet,5.217059623,6,Germany,3732.579718,200-250,15-20,2-3,4000-4500
Audi,6.788428667,4,Germany,3949.115082,300-350,<15,4-5,3000-3500
Chevrolet,14.73637611,4,Japan,2840.479272,>350,25-30,5-6,>5000
Toyota,13.50744632,6,Germany,2611.14339,300-350,30-35,4-5,>5000
BMW,13.30144342,6,Germany,3139.929598,>350,<15,4-5,4000-4500
Ford,5.477851438,6,Germany,3822.095656,300-350,40-50,<2,3000-3500
BMW,12.03954495,6,Japan,2725.437257,100-150,25-30,2-3,3500-4000
BMW,18.86934227,8,USA,3828.697282,150-200,30-35,2-3,3500-4000
Honda,10.96387804,8,Germany,3988.319536,250-300,25-30,2-3,4500-5000
Toyota,14.37383705,6,Japan,2581.003346,200-250,25-30,3-4,3500-4000
Ford,16.69728013,4,Germany,3242.884561,150-200,30-35,3-4,>5000
Chevrolet,16.75887919,6,Japan,2993.328242,300-350,15-20,2-3,>5000
BMW,12.78920124,8,Germany,3090.519782,200-250,15-20,2-3,3000-3500
Honda,17.86927918,4,Japan,3177.452129,200-250,40-50,4-5,4000-4500
BMW,10.8706714,8,USA,3609.555935,250-300,40-50,4-5,2000-2500
Nissan,18.33039822,6,USA,3386.949555,150-200,20-25,2-3,2500-3000
Chevrolet,8.603407496,8,USA,3941.801632,>350,20-25,5-6,3500-4000
BMW,9.203246105,8,Germany,2999.146899,>350,35-40,5-6,2500-3000
Nissan,5.796809363,8,Japan,3312.256124,>350,25-30,2-3,>5000
Nissan,16.93372755,4,Germany,3719.992796,100-150,<15,2-3,2500-3000
Honda,11.25582854,8,Germany,3059.542625,>350,15-20,3-4,3500-4000
Honda,8.436749209,4,Japan,3197.948801,>350,35-40,5-6,4000-4500
Nissan,8.476854164,6,Germany,3527.461829,>350,35-40,5-6,4500-5000
Toyota,18.52099912,6,Japan,3791.116328,100-150,<15,<2,3500-4000
BMW,17.50874901,8,Japan,3123.522206,>350,15-20,3-4,>5000
Nissan,13.30296328,4,USA,3297.925708,>350,15-20,3-4,4000-4500
Nissan,14.24166201,6,USA,3962.683428,300-350,35-40,3-4,3500-4000
Honda,12.11488356,4,USA,2563.703743,>350,<15,2-3,2000-2500
BMW,10.87499814,4,Japan,3172.343075,250-300,<15,4-5,3500-4000
Ford,18.73215322,8,USA,3453.972777,300-350,40-50,4-5,>5000
Chevrolet,6.884190553,8,Japan,2512.641186,100-150,15-20,4-5,4000-4500
Honda,11.27670185,4,Germany,3395.179752,>350,35-40,4-5,>5000
BMW,10.16842862,4,USA,2584.299932,100-150,15-20,4-5,3500-4000
BMW,12.4722608,8,Japan,3786.337595,250-300,<15,3-4,2000-2500
Mercedes,11.86447812,4,Japan,3710.629143,200-250,15-20,3-4,2000-2500
Audi,12.78334297,8,Japan,2548.382705,300-350,35-40,2-3,3000-3500
Toyota,7.098784658,4,Japan,2573.206037,150-200,40-50,4-5,4500-5000
Chevrolet,12.69712252,8,USA,3630.420897,>350,40-50,2-3,>5000
Honda,8.636282208,4,USA,3054.317339,>350,25-30,4-5,3000-3500
Honda,7.764970235,8,USA,3362.538682,150-200,35-40,2-3,3500-4000
Ford,5.972513282,4,Japan,2905.492405,100-150,15-20,<2,3500-4000
Audi,16.43978838,6,Germany,2759.453314,150-200,20-25,2-3,3500-4000
Audi,11.41162881,6,Japan,2944.115676,>350,40-50,<2,2500-3000
Toyota,14.39965525,4,Germany,2870.07055,300-350,<15,4-5,2500-3000
Mercedes,15.91390015,6,USA,3172.461157,250-300,<15,4-5,2500-3000
Mercedes,15.18974998,4,Japan,3620.014248,100-150,15-20,3-4,2000-2500
Audi,12.05751079,4,Japan,3331.194112,>350,<15,2-3,2500-3000
Toyota,10.81847793,6,USA,3413.767462,>350,15-20,<2,2000-2500
Mercedes,10.63939864,4,Japan,3205.117895,>350,30-35,<2,4500-5000
BMW,14.60073195,8,Germany,2987.10046,>350,25-30,2-3,3000-3500
BMW,12.42191532,4,Germany,2715.263238,100-150,40-50,5-6,>5000
Honda,17.73698372,4,Germany,3031.848189,100-150,40-50,2-3,2500-3000
Mercedes,18.12052976,6,Japan,3497.797924,100-150,20-25,2-3,3000-3500
Ford,7.55840567,8,Japan,3600.666134,200-250,20-25,<2,3000-3500
Honda,7.043504773,4,Germany,3203.772316,150-200,25-30,2-3,2000-2500
Audi,14.45601389,4,Japan,3467.495912,200-250,30-35,3-4,>5000
Nissan,9.518386221,4,Germany,2815.811623,250-300,20-25,3-4,2000-2500
BMW,5.278560781,4,USA,3790.099481,>350,30-35,2-3,>5000
Nissan,18.32964004,4,Germany,3798.904676,300-350,25-30,<2,>5000
Audi,8.403511509,4,USA,2980.491891,>350,30-35,3-4,4000-4500
Mercedes,18.93920978,8,USA,3321.568359,>350,25-30,2-3,4000-4500
Ford,15.76151676,8,USA,3409.993043,100-150,20-25,2-3,4500-5000
Honda,16.43980235,4,Germany,3208.645058,>350,40-50,5-6,3500-4000
BMW,8.021922437,4,Germany,3866.71323,200-250,40-50,3-4,4500-5000
Ford,8.512916384,6,Japan,3609.57542,>350,15-20,3-4,2000-2500
Honda,12.81901631,8,Japan,3508.765739,200-250,40-50,3-4,2000-2500
Honda,7.58149779,8,USA,3280.139832,>350,25-30,3-4,3500-4000
Nissan,9.58147539,4,Germany,2627.270995,200-250,40-50,3-4,4000-4500
Chevrolet,9.821937169,8,Japan,2661.732066,200-250,40-50,4-5,>5000
Audi,7.394448999,8,Japan,2948.513293,>350,25-30,4-5,2000-2500
Toyota,8.077742501,6,Japan,2817.283403,100-150,<15,2-3,>5000
BMW,16.82827763,6,Germany,3928.796458,>350,20-25,3-4,2500-3000
Toyota,7.507937818,8,Japan,3114.718778,>350,30-35,3-4,3500-4000
Mercedes,5.426860878,8,USA,3814.908158,>350,35-40,4-5,3000-3500
Ford,14.44032414,8,Germany,3727.119525,>350,20-25,4-5,3500-4000
Mercedes,19.63974679,4,Japan,3718.855409,>350,15-20,3-4,2500-3000
Mercedes,9.968207219,6,Japan,2823.561288,100-150,40-50,<2,4000-4500
Toyota,6.779835548,4,Germany,3170.98272,>350,40-50,3-4,>5000
Nissan,13.55580988,6,Japan,2976.927987,>350,30-35,<2,3500-4000
Chevrolet,18.59531317,6,Japan,3955.616506,>350,15-20,2-3,3500-4000
BMW,16.7609267,6,USA,3815.116452,150-200,20-25,2-3,>5000
Audi,14.33773803,8,Germany,2874.885491,>350,<15,4-5,4500-5000
Honda,9.725847449,6,Japan,2970.280541,>350,40-50,2-3,3500-4000
Honda,13.1282026,4,Germany,3293.363856,>350,<15,3-4,3000-3500
Audi,6.36867262,6,Germany,2917.908678,250-300,30-35,5-6,>5000
Nissan,15.18418136,4,USA,3736.79495,100-150,20-25,2-3,4000-4500
BMW,15.87644028,6,USA,3728.846917,200-250,30-35,3-4,2500-3000
Toyota,19.47547434,6,Germany,3586.510657,>350,35-40,3-4,3000-3500
Audi,8.905960381,8,USA,3533.965307,>350,40-50,<2,>5000
Honda,5.276846286,4,USA,3320.952261,250-300,15-20,4-5,2000-2500
Toyota,13.18412697,6,Japan,3020.668386,100-150,<15,<2,>5000
Nissan,15.60185757,6,USA,3755.407679,250-300,15-20,3-4,2500-3000
Honda,16.85611214,4,USA,3788.248257,250-300,40-50,3-4,>5000
Ford,7.906083995,6,Japan,2574.264203,>350,40-50,4-5,3500-4000
Chevrolet,8.926293036,8,Japan,3097.929121,>350,30-35,4-5,3500-4000
Toyota,12.68886388,4,Germany,2539.941371,200-250,30-35,2-3,>5000
Audi,9.95901215,8,USA,3759.216092,300-350,35-40,<2,3500-4000
BMW,17.9076723,4,Japan,2765.63987,100-150,15-20,4-5,4000-4500
Toyota,12.10640231,4,USA,3510.800147,>350,40-50,3-4,2000-2500
Toyota,16.99367966,4,Germany,3036.063727,200-250,25-30,4-5,2000-2500
Toyota,13.70929641,6,USA,3724.09818,250-300,25-30,4-5,2500-3000
Audi,16.59635212,4,USA,3264.53035,200-250,30-35,4-5,4500-5000
Nissan,9.990094798,4,USA,2986.602887,>350,<15,3-4,2000-2500
Nissan,17.47124933,4,Japan,2985.806001,>350,15-20,2-3,2000-2500
BMW,9.118584733,8,Japan,2990.390864,>350,35-40,4-5,3500-4000
Nissan,13.19148212,4,Germany,3682.868825,200-250,<15,3-4,4500-5000
Audi,8.210106698,6,USA,3566.673398,200-250,30-35,2-3,4500-5000
BMW,12.13289782,4,Germany,2978.821161,150-200,15-20,4-5,2500-3000
Mercedes,9.772628143,4,Germany,3235.312133,>350,25-30,5-6,2000-2500
BMW,9.00055146,8,Japan,2614.230078,100-150,20-25,3-4,>5000
Nissan,19.50477527,6,USA,3741.250403,300-350,20-25,<2,3000-3500
Mercedes,7.401111582,6,USA,2898.932214,>350,35-40,3-4,>5000
Honda,16.80988756,6,Germany,3833.837713,>350,20-25,4-5,>5000
Nissan,19.76247439,4,USA,3395.19504,250-300,30-35,5-6,>5000
Honda,5.298522256,4,Japan,3351.730243,250-300,25-30,2-3,2500-3000
Ford,15.48541121,6,Germany,2744.078113,100-150,35-40,<2,>5000
Nissan,8.793677083,6,Germany,2604.303039,>350,40-50,5-6,>5000
Ford,5.607317365,8,Japan,3328.924871,>350,35-40,3-4,4000-4500
Nissan,11.04334368,6,Japan,3201.983685,150-200,15-20,3-4,3000-3500
Ford,19.02826715,4,Japan,2679.52455,250-300,<15,5-6,3000-3500
Chevrolet,5.176476416,4,Japan,3753.381584,>350,20-25,<2,2000-2500
Ford,13.81828538,4,Japan,3125.860179,>350,30-35,4-5,4000-4500
Honda,12.52094718,8,Japan,2890.686701,150-200,<15,<2,4000-4500
Toyota,18.10076247,6,Germany,3682.40814,300-350,25-30,3-4,3000-3500
BMW,6.260025718,4,USA,3869.596235,150-200,30-35,4-5,3500-4000
Ford,15.22289045,8,USA,2958.944055,100-150,20-25,3-4,3000-3500
Toyota,15.20164548,8,Germany,3663.924828,>350,40-50,5-6,4500-5000
Audi,15.03620025,4,USA,3478.779486,>350,<15,3-4,>5000
Chevrolet,19.13501742,8,USA,3984.591676,>350,<15,2-3,2500-3000
Chevrolet,17.34631294,8,Germany,2805.989061,100-150,35-40,2-3,3500-4000
Mercedes,5.629590894,4,USA,3941.018492,>350,25-30,2-3,2500-3000
Audi,12.06624276,8,USA,2972.908085,250-300,35-40,2-3,4000-4500
Audi,10.96929584,4,Germany,3117.931447,200-250,25-30,<2,4500-5000
Mercedes,9.652208316,4,USA,3038.238721,300-350,15-20,2-3,>5000
Audi,11.77005088,8,Japan,2902.676046,100-150,40-50,3-4,3000-3500
Honda,10.76291277,4,Germany,3539.833872,>350,40-50,4-5,>5000
Audi,11.4850085,4,USA,3383.717981,300-350,35-40,4-5,2000-2500
Honda,19.68892798,6,USA,2958.537919,150-200,20-25,4-5,4000-4500
Mercedes,6.329494621,4,Japan,2698.318685,150-200,30-35,<2,2000-2500
Ford,18.83346305,6,Germany,2976.063457,150-200,20-25,2-3,>5000
Mercedes,12.2035507,6,Germany,3071.846968,100-150,<15,4-5,4000-4500
Nissan,14.35613368,6,USA,3070.980165,300-350,40-50,3-4,4500-5000
Audi,17.4527445,6,Japan,3035.889301,>350,15-20,<2,>5000
Audi,10.40694544,8,Japan,2573.083759,100-150,40-50,4-5,2500-3000
Chevrolet,11.45632862,8,Japan,3196.049662,100-150,25-30,4-5,2000-2500
Mercedes,11.1427772,4,Japan,3754.312146,300-350,15-20,3-4,>5000
Mercedes,10.62096534,4,Japan,2770.549438,>350,30-35,<2,3000-3500
Toyota,18.88293982,4,Japan,2718.486015,200-250,40-50,4-5,2500-3000
Nissan,17.43394837,8,Germany,3207.776583,200-250,35-40,3-4,3500-4000
Chevrolet,6.634999848,6,USA,3055.904518,300-350,40-50,4-5,4000-4500
Ford,6.621850287,8,USA,3341.920961,200-250,35-40,4-5,2000-2500
Audi,11.41804272,8,Japan,3920.611464,100-150,35-40,4-5,3000-3500
Chevrolet,6.479860651,4,Germany,3641.329375,>350,40-50,3-4,2000-2500
Honda,14.28639643,4,Germany,3530.58723,>350,15-20,2-3,3500-4000
Toyota,7.155374109,4,Japan,3123.905417,300-350,25-30,4-5,>5000
Toyota,12.83559896,6,USA,2931.039755,>350,15-20,3-4,>5000
Honda,5.108299205,6,Japan,3310.396155,>350,40-50,4-5,4500-5000
Mercedes,9.748945226,8,Germany,3828.165291,150-200,40-50,2-3,2500-3000
Audi,15.15786086,6,Japan,3815.113766,200-250,<15,2-3,>5000
Audi,12.2605841,4,USA,3168.272423,150-200,35-40,5-6,4000-4500
Nissan,19.67404229,6,USA,2869.33053,150-200,40-50,4-5,2500-3000
Honda,18.11155694,6,Germany,2838.016675,>350,15-20,5-6,>5000
Audi,10.38606169,6,Japan,2550.982625,>350,30-35,4-5,>5000
Toyota,5.682298122,6,Japan,3763.996369,>350,40-50,3-4,4500-5000
Audi,17.6843945,4,Germany,2897.257051,>350,<15,4-5,4500-5000
Ford,18.66851465,4,Japan,3038.498712,150-200,35-40,5-6,2500-3000
Audi,17.3094109,8,Germany,3713.824211,100-150,20-25,3-4,2500-3000
Nissan,6.919249114,8,Japan,2680.036078,>350,40-50,4-5,4500-5000
BMW,19.96872702,8,USA,3191.851118,300-350,40-50,2-3,2500-3000
Chevrolet,8.878763323,6,Germany,2683.51207,300-350,40-50,3-4,3500-4000
BMW,15.86307369,6,Japan,3162.772854,>350,25-30,4-5,>5000
Ford,18.62052315,4,Japan,2570.70936,>350,40-50,2-3,>5000
BMW,8.535306715,8,Japan,3276.434239,>350,40-50,2-3,3500-4000
Audi,18.62387832,4,Germany,3693.564579,100-150,20-25,2-3,>5000
Nissan,9.642223688,8,USA,3514.445012,>350,40-50,2-3,>5000
Toyota,19.64619834,8,Japan,3263.753514,>350,<15,2-3,4500-5000
Toyota,9.218900306,8,Germany,3743.138068,200-250,30-35,3-4,2500-3000
Ford,19.30153737,6,Japan,2841.681962,>350,15-20,5-6,3000-3500
BMW,5.803169763,8,USA,3746.194427,200-250,<15,3-4,3000-3500
Mercedes,15.63908018,8,USA,2914.545219,>350,<15,2-3,2000-2500
Mercedes,12.98166701,6,USA,3043.729512,100-150,35-40,<2,3000-3500
Nissan,12.16815616,8,Germany,2692.645302,300-350,20-25,4-5,2500-3000
Chevrolet,8.352414714,6,Japan,2652.632135,150-200,35-40,3-4,3500-4000
Audi,15.58393685,6,Germany,3898.167278,>350,<15,4-5,>5000
BMW,7.862142372,4,Japan,2784.967371,150-200,20-25,4-5,2000-2500
Mercedes,13.29262694,6,Germany,2999.944233,150-200,30-35,4-5,4500-5000
Mercedes,8.798680446,6,Japan,3293.727548,250-300,40-50,2-3,4500-5000
BMW,19.3343207,6,Germany,3021.800699,>350,20-25,4-5,2000-2500
Chevrolet,5.429467908,8,Japan,3805.199925,150-200,35-40,2-3,>5000
Honda,7.995924202,4,Germany,3851.072145,150-200,40-50,5-6,4000-4500
Audi,8.634659096,8,USA,2988.985686,>350,30-35,4-5,3000-3500
Ford,11.21101739,6,Germany,2638.041544,300-350,15-20,2-3,>5000
Audi,8.490953628,6,USA,2815.237351,>350,<15,2-3,3000-3500
Nissan,12.37023635,4,USA,3211.589381,150-200,40-50,2-3,4500-5000
Ford,18.08698285,4,Japan,2932.721563,>350,<15,4-5,2000-2500
Chevrolet,15.68095132,6,USA,3180.208356,150-200,40-50,2-3,>5000
Nissan,13.69942971,6,USA,3638.05525,150-200,30-35,3-4,3500-4000
Toyota,6.33504767,8,Japan,3130.957651,>350,40-50,2-3,4500-5000
Toyota,15.40988163,6,Germany,2795.496184,300-350,40-50,4-5,2500-3000
Audi,7.496214265,8,Germany,3036.951461,>350,40-50,4-5,4500-5000
Nissan,16.79551079,4,USA,3614.471827,200-250,20-25,4-5,>5000
