Bedrooms,Square Footage,Location,Age of House,Bathrooms,Sale Price
1,3581,City,27,3,196999
5,1394,Rural,5,3,75950
3,909,Suburb,15,3,216112
1,2936,Rural,48,2,684725
2,3216,Suburb,22,2,651926
4,1905,Rural,35,2,229814
4,1532,City,30,1,480318
3,1925,Suburb,48,1,58276
5,3817,Suburb,44,3,588241
1,932,Suburb,33,1,196970
4,1775,Rural,30,2,602731
4,1484,Rural,36,1,280469
1,3116,Rural,16,3,726057
1,2018,City,38,2,911296
5,3967,Rural,23,1,233793
1,2504,Rural,37,3,776034
4,3167,City,37,3,816958
1,1940,City,28,1,790756
2,2395,Suburb,14,2,978275
4,3330,City,4,3,126179
3,1201,City,39,2,986009
5,3944,City,33,1,493885
4,3202,Suburb,31,3,922562
1,2494,Suburb,13,2,384421
5,1256,Rural,36,3,454524
5,2222,City,10,2,390574
3,825,Rural,47,1,440452
2,2349,Rural,31,2,701118
2,1078,City,26,1,178273
1,1156,City,14,3,719759
2,1540,Suburb,4,3,465206
5,2929,City,33,2,81983
1,2336,Rural,47,3,706439
2,2244,Rural,13,2,924464
1,3713,Rural,48,1,206281
5,2219,Suburb,41,2,611647
5,3740,Rural,50,1,987754
4,2966,City,34,2,546624
2,2468,City,43,2,275327
2,3852,Suburb,35,2,289641
3,2530,Rural,28,3,181129
2,876,Rural,31,3,410787
1,2991,Rural,30,2,509302
1,2616,City,32,3,557420
5,1826,Suburb,13,2,110875
1,3969,City,41,2,334376
3,3355,Suburb,34,3,109765
5,3569,Suburb,8,3,356118
5,912,Rural,42,3,272627
5,1859,Suburb,25,1,665654
2,1070,City,33,3,551248
1,2075,City,10,3,956584
2,1258,Rural,40,2,681276
4,3665,City,34,1,646734
5,3797,Rural,50,2,911587
4,2447,Rural,44,1,330348
2,1822,Rural,33,3,959607
1,3024,City,5,1,244917
5,1895,City,45,2,832301
4,3946,Rural,27,2,809055
4,1821,Rural,8,1,256096
5,2909,Rural,7,3,927772
3,1471,Suburb,22,1,426316
5,3055,City,46,3,155907
4,2609,Suburb,28,3,956587
2,1558,Suburb,9,3,893703
2,3419,City,31,1,572743
4,1456,Suburb,4,2,338059
2,1656,City,5,1,402451
2,3190,City,13,2,625366
3,3788,Suburb,6,1,443811
4,2666,Rural,23,2,483841
1,3078,City,47,2,106857
3,1077,City,35,1,852389
4,3609,Rural,34,3,366739
2,1623,City,38,2,553027
2,2656,City,34,1,616769
1,2022,City,11,3,684282
2,2063,City,6,2,894647
1,1300,Rural,32,2,172950
2,1882,Suburb,35,1,248515
5,2259,Rural,34,2,629266
5,2003,City,43,2,848569
2,2087,City,28,2,979813
1,2830,Rural,5,1,514894
1,3489,City,34,2,416187
3,2336,Rural,33,3,306931
5,3587,Rural,12,2,462025
3,2789,Rural,50,1,985729
1,1835,City,40,2,872261
2,3815,City,44,2,575014
5,912,Suburb,38,1,319532
4,2658,City,44,1,815156
2,1363,Suburb,12,1,532905
1,2655,Suburb,37,1,896559
5,2673,City,1,1,248489
1,1409,Rural,40,3,117228
1,3356,Rural,5,2,673737
4,3279,Rural,2,1,281217
1,1515,Suburb,46,1,801420
1,1367,Rural,25,1,828598
1,1036,City,38,3,838972
4,3155,Suburb,25,1,690152
3,1647,Suburb,48,1,134135
1,1217,Rural,22,1,420258
1,3068,Rural,1,3,715323
2,907,City,25,2,133836
5,3382,Suburb,33,3,695774
5,3477,City,22,3,281515
5,3758,City,31,3,631512
5,2852,City,19,1,473682
5,3199,City,48,3,696079
2,1229,Suburb,18,3,958470
4,1639,City,1,1,210114
5,2564,Rural,19,1,995353
2,3556,City,14,2,548734
2,3092,Rural,11,3,267481
1,3206,City,8,3,773746
5,2969,City,18,2,574577
2,3402,Suburb,9,1,574939
2,1981,Suburb,43,1,757939
2,859,Rural,28,3,889030
2,2901,Rural,11,2,185496
3,2185,Rural,49,3,464994
2,1062,Rural,41,1,85615
4,2695,Rural,30,2,355729
4,3510,Suburb,44,3,212097
5,3632,City,27,1,339694
5,2172,Suburb,26,1,384063
5,2351,Suburb,49,1,188790
2,2886,City,12,2,237693
5,1705,City,38,1,578843
5,3516,Suburb,27,2,786768
4,2132,Suburb,37,2,734464
5,1709,City,17,1,679018
1,3175,Suburb,46,3,68814
2,855,City,9,1,393918
2,3414,Suburb,6,1,368838
2,3915,Rural,13,1,620758
1,2010,Suburb,6,3,766605
3,2807,City,38,2,868693
3,2699,City,4,3,542634
4,2006,City,16,1,448243
3,2442,City,36,1,439599
1,2705,Rural,43,3,984804
4,2202,City,14,3,951753
2,2290,Rural,29,3,400029
5,1947,Suburb,24,1,435996
2,2913,Rural,39,2,830570
5,2130,City,39,3,350112
5,3962,City,45,3,324388
2,3664,Suburb,25,3,184805
1,1034,Suburb,46,1,874725
2,957,Rural,46,2,637061
1,3778,Rural,3,2,803205
3,2433,City,42,1,863205
3,909,Rural,27,3,571230
2,1285,Suburb,12,2,348366
1,2941,City,43,3,446593
2,3744,City,2,1,651962
1,2034,Rural,38,3,110294
1,3499,City,26,1,832534
2,3205,Suburb,29,1,355298
1,2277,Suburb,45,1,789052
1,2824,Suburb,30,1,797138
4,3779,Suburb,38,1,207808
4,3205,Rural,41,3,486335
5,1381,Rural,32,3,756488
1,3656,Rural,38,1,104390
5,2040,Rural,21,3,218244
3,3946,Suburb,8,2,428569
1,2570,City,6,3,679723
3,2283,City,4,1,369917
4,3970,City,17,3,272238
3,3348,Rural,21,2,483787
3,2233,City,4,2,713119
2,1033,City,35,1,882913
1,3013,City,30,1,790888
1,2051,City,27,2,147284
5,2875,Suburb,12,3,497242
3,2533,City,48,1,894637
4,1038,City,20,2,90745
4,2930,Suburb,40,2,536602
3,3803,City,44,1,971320
2,2863,Rural,41,3,675320
3,1686,Rural,33,2,320071
3,1402,Suburb,10,3,267903
4,1834,Suburb,50,2,714083
3,1324,City,5,1,611196
5,1392,City,11,3,967701
4,3459,Rural,21,3,747897
4,1406,Suburb,20,3,136678
2,3917,Rural,44,1,654931
3,1696,Rural,9,1,266739
4,3232,City,30,1,321975
3,876,City,48,3,701983
1,2514,City,4,2,97790
2,2845,City,9,3,159710
4,1749,Suburb,40,1,497230
5,3231,City,3,3,72709
2,2319,Suburb,38,3,742362
3,2152,Suburb,25,2,335957
2,1984,Suburb,37,2,137718
1,1855,Rural,30,2,715722
2,2717,Suburb,31,3,278662
4,3631,City,17,2,113280
1,2631,Suburb,10,3,782137
3,3061,Suburb,8,3,568290
1,1874,City,50,2,723020
5,923,City,2,3,254790
2,2352,Suburb,32,2,659235
3,1319,Rural,11,3,933344
4,2355,Rural,10,2,555104
5,2067,Suburb,41,2,189123
2,990,Suburb,32,1,834444
4,2643,Rural,24,3,603855
5,1561,City,7,2,659573
2,3749,City,29,3,387168
4,3961,Suburb,2,3,627722
3,2660,Rural,16,1,410646
2,3704,Suburb,31,1,765871
4,2982,Rural,12,1,902647
5,1700,Rural,32,1,271140
3,1385,Suburb,47,1,79887
5,3824,City,41,3,448055
3,3300,City,18,1,946152
4,3744,Suburb,3,1,812187
2,2870,Suburb,16,2,306565
4,1708,Rural,49,3,998209
5,1202,Suburb,42,2,375561
1,2435,Rural,18,2,758912
4,3886,Suburb,44,3,874577
3,3213,Suburb,15,3,155133
5,3829,Suburb,41,3,443725
4,1862,Suburb,37,1,830910
5,2857,Rural,23,3,580234
3,3657,Rural,26,2,894887
3,1488,City,7,1,79549
3,2325,Rural,48,3,116868
2,1635,City,50,2,780160
4,2349,Suburb,21,2,902395
2,3694,Rural,29,2,57269
3,2391,City,45,2,791842
1,935,Rural,7,2,480494
4,2265,Suburb,6,1,892300
4,1593,Suburb,27,3,94998
5,3334,Suburb,43,2,197050
2,985,Rural,46,3,946825
1,1839,City,50,1,579985
2,2310,Suburb,17,1,297576
2,2659,Rural,24,2,887092
3,2326,City,28,2,723834
4,3720,Rural,26,1,892891
2,1514,Suburb,38,1,824691
1,2085,Rural,26,2,953361
4,3820,Rural,40,3,108396
4,1342,City,1,2,271592
2,3988,City,19,3,428749
2,2019,Suburb,26,3,968874
1,1490,City,35,2,377816
1,1647,Rural,16,1,877691
4,1134,Suburb,13,3,284058
5,1361,Rural,10,3,270590
4,2573,Suburb,8,1,248515
5,2363,Suburb,27,1,508416
1,2583,City,26,3,536925
3,1016,Suburb,3,2,255654
2,1939,City,45,2,808534
2,1754,Suburb,36,2,487295
2,3080,Rural,41,3,975514
5,1565,City,8,3,809846
5,3636,Suburb,32,3,530866
4,2335,Suburb,19,2,173868
1,2625,Rural,12,1,336241
3,836,Suburb,45,2,603286
5,1543,Suburb,45,1,348568
4,3930,Rural,13,3,964554
4,905,Rural,44,3,122346
1,2942,City,48,2,398292
4,802,Suburb,45,1,452730
3,835,City,7,2,242549
1,2628,Rural,47,1,822031
2,2647,City,47,1,850816
3,3507,Rural,16,1,619003
2,2984,Rural,32,3,861239
3,1554,Rural,9,2,328312
2,823,Suburb,26,3,172848
4,2891,Rural,48,1,750638
5,1186,Rural,40,3,510437
5,1959,Suburb,47,2,687457
3,1844,Rural,20,1,629618
2,2066,Rural,6,3,162272
3,3111,Rural,11,2,768583
4,3603,Suburb,29,3,110546
5,2712,City,7,1,185487
2,3487,Suburb,29,1,126460
2,2008,City,43,1,813326
4,3024,Suburb,4,3,273753
5,3242,City,24,2,254400
2,2134,Suburb,3,2,764482
5,1648,Rural,12,2,180082
1,3040,City,35,3,587988
3,2531,Rural,8,1,579226
4,2119,Suburb,38,1,328552
2,1215,Rural,41,3,143254
1,3936,City,38,2,640566
2,3678,City,15,1,354362
1,906,City,5,2,908885
1,1160,Rural,40,1,546226
5,1801,Rural,16,2,296187
4,1615,City,46,3,946925
2,1989,City,28,1,917981
3,3436,Suburb,13,3,343850
4,1204,Suburb,41,2,643771
3,2176,Rural,11,2,905756
2,894,Suburb,37,1,648125
2,969,Rural,3,2,906465
3,3820,City,8,2,951312
2,2410,City,38,3,309254
1,807,Suburb,47,2,491047
1,3435,Rural,34,1,762890
2,1318,Suburb,38,3,872903
5,3465,Suburb,42,2,701277
2,1866,Suburb,24,2,113538
2,2700,Rural,18,1,154023
3,1604,Rural,25,2,579199
1,1816,Suburb,50,2,609281
5,2000,Suburb,13,3,91628
1,2468,Rural,39,2,660826
5,3229,Rural,22,2,669269
4,1803,Suburb,30,2,438087
4,3397,City,30,3,190338
5,3685,City,37,2,941218
2,1896,Suburb,45,3,439388
1,2422,Rural,43,1,743685
3,1784,City,15,1,146520
4,2521,Suburb,35,2,312635
3,3819,Suburb,6,3,445145
2,3755,Rural,11,2,415486
5,1604,City,28,3,151857
3,2070,Suburb,30,1,335406
2,3817,Suburb,16,2,600999
2,3663,Rural,28,1,695446
3,2900,City,25,3,793100
1,1888,Suburb,48,2,897114
4,3941,Suburb,30,1,948718
4,2159,Rural,45,3,139909
2,2197,Suburb,14,1,360046
4,3191,Rural,27,3,901115
2,2098,City,48,1,159461
1,1941,Suburb,50,3,957416
5,3542,Suburb,30,3,926478
5,2486,City,10,2,629297
5,1865,Rural,20,1,984314
1,2736,Rural,44,2,725272
5,1690,Suburb,7,2,378574
5,3189,City,34,1,757472
3,3659,Suburb,27,2,361618
1,3794,City,23,1,216139
5,2519,Suburb,46,2,532819
3,2625,Suburb,45,1,91711
5,885,Rural,25,3,372184
2,1386,City,28,3,538290
5,1489,City,18,2,261098
3,2927,City,13,3,948108
2,1168,Rural,13,1,183090
1,3512,Suburb,45,1,892218
1,1599,Rural,34,2,985799
1,2884,Rural,14,2,569549
5,1844,City,28,3,347067
3,1375,Suburb,13,2,952827
1,1437,Rural,34,2,912110
3,2004,Suburb,5,2,144303
1,2778,Suburb,40,1,576799
4,3459,Rural,10,1,633912
2,806,Rural,36,3,499372
5,1099,Rural,6,3,689211
2,2163,Suburb,21,1,359347
2,2796,Suburb,35,1,251877
4,1556,Suburb,16,1,945955
3,3106,City,20,2,926111
2,2616,Suburb,31,2,199970
4,1355,City,5,3,480109
3,2526,Rural,6,3,544115
4,2401,Rural,2,1,686219
3,1981,Suburb,39,1,788063
4,2622,Rural,22,1,724393
2,2234,Suburb,11,2,870669
2,2213,Suburb,15,3,485250
4,3586,City,13,2,605591
2,1240,Suburb,33,1,579099
4,1769,Suburb,46,2,72521
4,1176,City,14,1,566786
5,1113,Suburb,39,3,870526
1,1182,Rural,2,2,966395
2,3280,City,10,2,463943
4,1143,Rural,42,1,140894
1,1305,City,30,1,845523
4,1224,Suburb,32,3,448999
2,941,Suburb,9,2,169618
4,2914,Suburb,48,3,734117
3,1014,Suburb,16,2,712662
3,1484,Rural,39,3,846573
5,981,Rural,5,3,161120
2,1457,City,46,3,595529
2,3685,Suburb,15,1,874780
1,3421,Suburb,4,2,765942
4,2799,Suburb,24,2,225332
2,974,City,25,2,939784
2,1912,Suburb,37,1,452873
1,3379,Suburb,24,1,880069
3,1700,Suburb,42,3,977057
2,3872,Rural,13,2,213691
1,3296,Suburb,20,1,87826
3,3083,Suburb,5,2,759080
2,3818,Rural,20,1,358525
3,3992,City,18,1,885353
2,2168,Suburb,39,3,277541
5,2985,Rural,49,2,569648
4,939,Rural,3,1,876901
1,1244,Rural,44,3,839889
2,2401,Suburb,31,2,635651
4,3365,City,30,2,281199
5,1786,City,41,1,887537
3,3501,Suburb,24,1,544546
5,2048,Rural,5,2,574252
4,3108,Rural,20,1,178807
1,3204,City,24,3,408562
4,1220,City,17,1,823747
3,3777,City,8,1,257301
4,1817,Suburb,21,2,995718
5,2648,Suburb,14,1,792988
4,3478,City,50,2,372658
4,3723,Suburb,38,3,506070
4,3223,Suburb,32,2,500284
4,3915,Suburb,36,3,849885
3,821,Suburb,40,2,632575
4,1608,Rural,4,2,594465
1,1334,City,21,2,507322
3,3203,City,25,3,571957
3,1006,Rural,45,2,235840
4,1652,City,1,3,114682
5,2007,Suburb,47,1,146816
4,815,City,13,3,795349
3,994,Suburb,16,3,895323
2,882,City,29,3,558725
1,2665,City,39,3,187447
5,1022,Suburb,29,1,520419
5,1110,Rural,12,1,738170
5,2769,City,31,1,622289
3,2264,Suburb,20,1,422240
5,3129,Rural,35,3,58885
5,2215,Suburb,41,2,458478
2,2986,City,28,1,412478
2,3959,City,35,1,705883
2,2758,Suburb,29,3,93312
5,3940,Rural,44,3,197571
5,3924,Rural,39,3,627265
4,1584,City,29,2,601011
3,2797,Rural,34,3,827194
4,1809,City,10,1,670907
3,3358,City,37,1,482597
4,3648,Rural,48,1,462391
2,3047,Suburb,7,2,604486
5,3214,Rural,9,1,673485
2,1665,Rural,16,3,259555
4,1724,Suburb,21,1,323004
3,3725,Suburb,14,1,240483
1,1566,City,2,3,183566
1,2522,City,50,1,423738
5,1229,Suburb,26,1,307150
5,3751,Suburb,34,3,678547
4,2262,City,47,3,322692
3,2579,Suburb,49,3,283460
3,2873,City,18,1,419225
2,1911,Rural,12,2,991170
4,2342,Suburb,50,3,933088
2,1342,Rural,19,3,69160
4,2961,Rural,36,1,802694
4,823,City,38,3,202971
5,3316,Rural,16,2,554204
5,1895,City,46,2,273004
3,1120,City,8,1,887082
3,2286,Rural,9,2,845751
5,3178,Suburb,4,1,474542
1,2598,City,36,2,648993
3,1139,City,47,1,794583
2,3068,Suburb,38,2,542806
1,1279,Rural,49,2,933659
2,1187,City,49,1,63241
4,1477,Suburb,45,3,125981
4,1925,Rural,4,2,808303
4,2024,Suburb,8,1,681626
3,1041,Suburb,43,2,936623
3,3148,Suburb,7,2,119518
4,2704,Suburb,3,3,551191
3,1060,Rural,1,1,54014
3,3755,Rural,4,1,129066
2,1459,City,1,3,991266
5,2624,Suburb,46,1,932796
4,3862,Suburb,42,2,519917
1,1264,City,38,3,685086
5,2377,Suburb,37,3,89143
5,3600,Rural,12,3,454759
2,2125,Rural,42,3,633045
4,2534,City,10,1,992330
1,3318,Rural,47,1,829162
1,2178,Rural,1,1,938841
2,2145,City,2,2,696480
5,3610,City,12,2,144877
2,3902,Rural,39,3,195816
1,1615,City,48,3,317076
5,3484,City,36,2,298494
5,1941,Rural,7,3,466230
2,3041,Rural,38,1,634278
4,3265,City,25,2,206862
3,2913,City,3,3,410725
5,1309,City,27,3,85084
5,2766,City,50,2,120819
3,2354,Rural,24,2,124941
1,2009,Suburb,27,1,803516
3,2871,Suburb,6,1,443374
2,1887,City,25,3,670161
5,1328,Suburb,43,3,276711
5,2855,City,31,2,502087
4,1154,City,44,3,453804
1,3850,Suburb,9,1,221936
2,3650,Suburb,39,2,160183
3,2498,Rural,29,2,111886
1,2596,City,14,2,700274
1,3549,City,36,2,178015
2,3851,City,50,2,574852
4,3215,Suburb,29,2,750822
2,3952,Rural,43,1,869992
2,1946,Rural,41,1,252820
4,3892,City,38,2,841617
1,2409,City,22,3,507903
1,2651,Suburb,12,3,648332
3,1349,City,40,3,143474
4,2115,City,49,2,552982
1,1053,Suburb,26,2,336654
1,3353,Rural,46,1,590371
4,1093,City,28,2,332925
5,1308,City,21,1,828941
1,1861,Suburb,27,2,742557
4,1423,City,33,1,558789
5,1490,City,29,1,78915
5,2566,Suburb,24,1,628245
1,3024,Rural,32,3,341080
3,2115,Suburb,6,3,768250
2,3409,Suburb,27,1,171172
3,1070,City,16,3,75676
3,3912,Suburb,36,2,209494
1,933,Rural,47,1,112226
4,3964,Rural,30,2,151199
4,890,Rural,15,1,148519
5,2913,Rural,8,1,866500
3,1755,Suburb,31,1,544164
2,1542,Suburb,9,1,195494
5,3477,Suburb,42,1,450856
2,1145,Rural,21,3,558142
5,3572,Suburb,39,2,633074
4,3626,Suburb,39,2,289599
1,2405,City,43,3,786353
2,1886,City,20,2,624820
1,1926,Suburb,26,1,491059
5,1889,City,38,2,982450
5,1936,City,43,2,525757
1,2011,Suburb,14,1,866026
4,2442,Rural,48,1,444848
2,2637,Rural,41,2,481217
1,1060,Rural,21,1,183659
5,1859,Rural,19,1,482750
2,3408,Suburb,14,2,252128
2,3439,Suburb,9,1,318001
3,2505,City,42,1,642401
2,2312,Rural,4,1,632734
4,2768,Suburb,23,3,67004
1,3043,Rural,22,3,277504
4,2195,Suburb,20,1,891217
3,2796,Suburb,19,1,817537
4,3174,Rural,19,3,753488
2,3955,City,23,2,155121
2,2146,City,31,1,487204
2,1905,City,46,1,696035
1,2151,City,19,3,729174
5,884,Rural,44,3,708254
5,1810,City,20,1,679367
3,3243,City,26,3,770086
4,2287,Rural,6,3,351723
5,1631,City,28,2,869448
1,2355,Suburb,41,3,478532
2,3462,Rural,4,1,540746
3,1843,City,49,3,835176
2,3393,City,44,1,436539
1,1935,City,9,1,652023
2,1439,Rural,49,3,148024
1,2484,Rural,14,2,737650
4,2805,Rural,31,1,504766
1,3311,Rural,29,3,568255
4,1933,Suburb,49,1,612085
4,2762,Rural,22,1,92478
4,935,Rural,9,1,539010
2,2626,City,11,2,698764
2,1453,Rural,25,1,867034
2,911,Rural,34,3,748254
3,3983,Suburb,38,3,441549
3,2310,City,5,3,532376
5,1403,City,47,1,103246
3,2627,Rural,23,2,266457
2,1745,Suburb,22,2,124706
3,2406,City,37,3,127145
3,1182,Suburb,43,3,124732
3,914,Rural,47,1,742534
5,3064,City,7,2,869873
4,3750,Suburb,8,1,963010
2,3687,City,11,3,511982
2,3297,Suburb,41,3,952844
5,2540,Rural,34,3,826940
1,2123,Rural,28,2,487032
4,1359,Rural,11,2,464348
5,2132,Rural,50,3,955174
2,1470,Rural,33,3,487842
3,1899,Rural,22,3,751989
5,2998,Rural,26,1,541218
1,3747,City,6,1,501568
5,3837,Rural,6,2,978727
1,3340,Rural,19,2,696562
5,2769,City,14,3,171989
1,3510,Suburb,35,3,410526
5,3938,Rural,48,2,716090
1,2373,City,47,2,425722
1,3506,Suburb,37,1,464858
5,2715,Suburb,1,2,68481
2,3032,Suburb,24,3,529814
5,3829,City,8,2,596047
2,2659,City,1,1,604694
1,839,City,17,3,172118
5,1188,City,46,2,475200
1,1644,City,36,2,58946
2,2132,Suburb,43,2,139359
5,1617,Suburb,2,1,292922
5,1664,Rural,17,3,300820
5,3442,Suburb,9,3,65935
4,3224,Rural,42,2,301521
2,2011,Suburb,26,1,156084
1,2406,City,42,3,952979
1,1660,Suburb,6,3,264236
5,2423,City,6,1,893599
3,3256,Suburb,17,3,384912
3,3451,Suburb,36,2,881908
4,946,Rural,13,2,818978
1,3225,Suburb,37,1,236240
5,3268,City,41,1,119830
4,2569,Rural,40,1,688779
5,2256,City,10,1,474541
1,1759,Rural,3,3,462107
3,3233,Rural,30,3,742262
2,2094,City,14,3,473338
2,2875,City,25,3,411226
5,813,City,5,2,907296
4,1942,Rural,19,3,491787
2,3538,Suburb,8,2,676388
4,2060,Suburb,24,2,788093
1,3642,Suburb,38,3,239347
5,3571,Rural,20,3,406971
4,2042,City,42,3,328246
5,2481,City,1,3,670529
2,885,City,7,3,177876
3,1728,Suburb,29,2,905868
1,3192,Suburb,42,2,757902
2,902,Rural,41,2,574716
5,1511,Suburb,30,2,983963
4,3432,Rural,32,2,708652
5,3958,City,48,3,113716
4,1069,Rural,14,3,508165
5,1421,City,25,2,653661
1,1487,Suburb,18,1,219002
3,3134,Suburb,10,3,120658
4,3746,Suburb,22,3,662520
2,2319,Suburb,13,3,474369
3,2696,Suburb,32,2,519511
1,3867,Suburb,3,3,790420
4,1037,Rural,44,3,319864
5,3732,City,18,1,735029
5,3483,Rural,33,1,533438
3,3949,Suburb,22,1,260697
5,3326,Rural,29,2,179486
3,2375,City,43,2,254645
3,3533,Suburb,4,3,881631
2,3680,Rural,29,3,990288
2,1091,Rural,18,1,254466
2,1870,Suburb,1,1,971288
5,3491,City,8,2,798257
4,2669,City,31,1,140995
4,3113,Rural,47,2,596453
2,2871,City,42,3,907412
2,2536,City,21,3,896285
4,3917,Suburb,38,3,435686
2,1423,Suburb,9,2,879408
3,3290,Suburb,49,1,527790
1,1328,Rural,45,1,623196
3,3397,City,20,2,258916
4,2893,City,23,2,423862
2,3778,Suburb,8,3,672239
1,2572,City,10,3,548986
2,1178,Suburb,45,3,946516
3,1279,Rural,20,2,906354
2,2150,City,4,2,86785
3,2699,Rural,23,1,366300
1,1385,Rural,33,2,539416
5,1063,Rural,50,3,446618
5,3851,City,2,3,493628
1,2680,City,38,2,79452
2,2223,City,18,3,779109
5,3612,Rural,13,1,401230
3,1343,City,50,1,835385
5,1283,Rural,11,3,457580
3,1027,City,20,2,874302
1,2526,Suburb,2,1,905124
5,1542,City,45,3,457564
1,2169,Suburb,13,1,571522
4,2409,Suburb,16,2,896487
1,3022,City,23,2,654186
5,1479,City,46,1,629177
3,1854,Suburb,28,2,712252
1,1853,City,13,3,76290
5,961,Suburb,26,1,644368
2,2414,Rural,38,1,941464
3,2791,Rural,4,3,244467
2,2974,Rural,1,3,247144
2,3734,Suburb,21,1,823756
4,1308,City,25,1,54634
1,2923,City,14,3,86373
2,1530,Rural,27,3,148512
3,828,Rural,39,1,177840
2,934,Suburb,1,1,242253
4,2231,Rural,27,1,500359
5,2033,City,33,3,951652
3,2556,Rural,1,1,436450
3,2702,Suburb,5,3,670532
5,968,Suburb,37,1,243481
4,3964,City,34,1,222675
4,3411,Rural,39,1,463019
1,1490,Suburb,5,2,939494
3,2514,Rural,18,1,69634
1,3692,City,33,2,176758
2,1821,City,11,1,764265
1,1397,Rural,36,1,626243
1,3086,Rural,38,1,585565
5,3365,Suburb,37,2,494540
1,1610,City,23,1,447699
2,1444,City,22,1,254277
1,3609,Suburb,25,3,989124
4,2104,City,45,1,875246
1,1735,Suburb,49,1,686219
5,2926,Suburb,13,1,281266
5,2993,City,35,2,486629
5,3683,Suburb,46,3,926653
1,1469,Suburb,44,1,420133
2,1878,Suburb,39,3,386348
3,1101,City,2,3,148470
5,2689,Rural,17,3,598557
1,1372,Suburb,33,1,440025
3,3615,Rural,19,3,94749
4,1652,City,32,3,867302
4,2514,Rural,41,2,317953
5,3150,City,27,3,580936
5,3322,City,15,2,64580
4,3800,City,29,1,921747
5,2827,Rural,33,2,495876
4,1931,Suburb,4,2,905634
1,1228,Suburb,44,1,91898
3,3150,Rural,5,1,909588
1,3890,Suburb,1,3,578256
4,1826,Suburb,19,2,570347
1,2593,Rural,7,3,446329
4,3930,City,35,1,731519
1,1681,City,12,3,222342
3,2606,City,28,1,760984
4,2673,Suburb,16,2,426106
5,3082,Rural,2,3,940291
5,1618,Suburb,37,2,142236
5,2780,Suburb,34,1,971073
4,3149,City,42,3,556325
5,3114,Suburb,18,3,368347
2,2288,City,5,2,632654
3,1036,Rural,9,2,874307
2,3594,Suburb,20,1,275966
4,2788,Suburb,4,2,531810
4,3478,City,17,3,425219
3,3284,Rural,36,1,108439
1,3834,City,9,3,504077
3,2574,City,11,2,432413
2,2539,Rural,35,2,743414
2,3152,Suburb,35,2,668384
2,1088,Rural,31,3,667634
2,3947,Suburb,31,3,592080
1,1356,City,23,1,77850
4,3743,Rural,2,2,130045
4,1000,Rural,10,2,345941
3,3294,City,43,2,879891
4,1091,Suburb,18,2,885059
4,2492,Rural,2,3,336544
4,2041,Rural,23,1,345050
1,1339,Suburb,46,1,194823
1,1694,Rural,9,3,299114
4,2870,Suburb,21,3,411221
2,938,City,14,3,702689
4,3417,City,33,1,246373
3,907,Rural,36,2,472197
5,1625,City,42,2,977333
3,1870,Suburb,14,2,835645
5,2467,City,40,3,724567
1,2086,Rural,48,2,269248
1,1699,Rural,12,3,336685
4,1540,Rural,23,3,90513
5,3952,City,46,3,354704
1,1859,Suburb,48,3,69539
1,3737,Rural,42,2,966313
4,2034,City,49,1,165428
1,3146,Suburb,34,3,450896
5,3975,Suburb,16,1,635976
3,2185,Rural,14,2,639743
1,3983,Rural,17,3,732414
2,2426,Suburb,36,3,450599
1,2815,City,48,3,610016
3,1924,City,12,3,836442
4,1996,Suburb,31,1,424857
4,2734,City,22,1,671783
3,3717,Suburb,37,2,344586
4,3003,City,40,3,688636
1,2747,Suburb,14,2,867342
5,2832,Rural,7,3,646290
1,2327,Rural,28,1,476569
5,2703,City,19,2,852413
2,2549,City,46,3,719405
3,2847,Rural,18,2,443888
3,3281,Rural,32,1,505905
1,1853,Suburb,27,1,380696
4,2573,Rural,22,2,686165
3,1746,Rural,32,3,699277
5,3306,City,9,1,350892
4,3537,City,44,1,117326
5,3722,City,6,1,549110
3,3073,Suburb,6,3,353995
5,1921,Suburb,17,3,416687
2,2231,City,1,2,851206
5,2775,Rural,24,2,456497
1,3562,City,2,1,551386
2,2583,City,38,1,538815
1,3190,City,8,3,417290
5,957,City,12,2,846180
4,3100,Suburb,36,3,552141
1,3843,City,46,2,76741
4,3870,City,37,3,430276
2,2616,Suburb,30,2,109953
5,3497,Suburb,20,3,539714
4,1538,Suburb,42,2,88650
1,1472,Suburb,12,3,394764
3,2751,Rural,8,1,523960
2,2144,Rural,15,3,929698
2,2277,Suburb,28,3,65106
4,945,Suburb,38,2,488460
2,2652,City,6,2,969923
5,1567,City,9,3,221932
2,2335,City,5,3,353018
5,2179,City,47,3,465006
2,3726,City,17,3,91477
5,2196,Suburb,14,1,632381
1,2516,Suburb,23,1,955628
1,2722,Rural,43,3,984071
2,1852,Rural,19,1,183504
2,3103,Suburb,18,1,642259
2,3403,Rural,42,3,406833
5,2734,City,4,2,481760
3,3952,City,22,2,688343
2,2300,Suburb,16,2,203786
2,2152,Rural,45,2,933721
4,2639,Rural,14,1,767310
2,1041,Suburb,20,3,727193
3,2194,Suburb,26,2,213642
1,1276,Rural,5,2,770339
4,1079,City,8,1,244775
4,1576,Suburb,40,3,431755
4,2796,Suburb,22,1,614379
1,2133,Rural,19,3,434181
5,2458,Rural,36,2,526502
5,3477,City,32,2,525175
1,3518,City,26,1,843630
4,895,Rural,33,2,482989
3,3006,Suburb,18,1,76274
1,2787,City,14,2,168474
4,2230,Suburb,28,2,566505
4,2443,Rural,17,2,508332
